timestamp,USDT_ARS_Parallel_sell_price,USDT_ARS_TradingView_open,USDT_ARS_TradingView_close,USDT_ARS_TradingView_high,USDT_ARS_TradingView_low,USDT_ARS_TradingView_volume,USD_ARS_Official_open,USD_ARS_Official_close,USD_ARS_Official_high,USD_ARS_Official_low
2024-09-01,1305.0,1304.0,1303.5,1309.05,1297.55,949762.54,,,,
2024-09-02,1305.0,1303.0,1298.29,1306.82,1294.26,2026792.81,950.5,952.5,952.5,950.5
2024-09-03,1305.0,1298.28,1300.62,1307.0,1294.16,2102370.77,952.5,953.0,953.5,952.5
2024-09-04,1310.0,1303.28,1298.86,1310.0,1293.65,2402128.97,953.0,953.0,953.74,953.0
2024-09-05,1305.0,1298.18,1272.2,1302.39,1249.0,2900310.25,953.0,953.5,953.74,953.0
2024-09-06,1265.0,1272.35,1270.13,1278.82,1250.53,2869498.09,953.5,956.0,956.0,953.5
2024-09-07,1260.0,1269.0,1267.7,1274.75,1259.51,1064303.07,,,,
2024-09-08,1260.0,1267.74,1261.02,1271.0,1257.62,744908.22,,,,
2024-09-09,1260.0,1264.69,1240.51,1267.0,1232.54,3305226.45,956.0,957.5,957.5,954.01
2024-09-10,1270.0,1243.05,1246.55,1257.5,1233.28,2337166.87,957.5,957.0,957.74,957.0
2024-09-11,1280.0,1250.45,1260.75,1262.0,1244.5,1786791.61,957.0,957.5,958.49,957.0
2024-09-12,1285.0,1260.49,1260.13,1270.5,1253.65,1909961.91,957.5,959.5,959.5,957.5
2024-09-13,1280.0,1260.49,1254.51,1265.0,1248.04,2095968.81,959.5,959.0,959.5,958.5
2024-09-14,1265.0,1254.0,1256.14,1262.0,1253.63,900584.96,,,,
2024-09-15,1265.0,1257.45,1259.54,1261.49,1253.55,552048.09,,,,
2024-09-16,1265.0,1260.05,1256.12,1262.49,1247.56,1839243.54,959.0,960.0,961.24,959.0
2024-09-17,1275.0,1257.28,1250.54,1258.95,1244.8,1518716.56,960.0,961.0,961.25,960.0
2024-09-18,1270.0,1252.16,1241.06,1256.0,1235.1,2380556.38,961.0,962.0,962.24,961.0
2024-09-19,1260.0,1241.06,1227.91,1244.47,1220.25,1801096.83,962.0,962.5,962.74,962.0
2024-09-20,1240.0,1227.5,1213.12,1228.49,1205.55,1854156.55,962.5,962.0,963.0,962.0
2024-09-21,1245.0,1213.49,1211.51,1217.0,1197.55,1206761.92,,,,
2024-09-22,1245.0,1211.5,1214.51,1219.97,1208.26,889046.64,,,,
2024-09-23,1245.0,1214.38,1221.5,1231.49,1208.5,1971327.36,962.0,965.0,965.49,962.0
2024-09-24,1245.0,1221.51,1221.19,1232.5,1214.1,2273645.26,965.0,965.0,966.0,965.0
2024-09-25,1245.0,1223.31,1218.15,1226.5,1214.51,2686268.04,965.0,968.0,968.0,965.0
2024-09-26,1240.0,1218.15,1215.14,1223.08,1195.59,4021303.66,968.0,967.0,968.0,967.0
2024-09-27,1230.0,1217.2,1224.49,1229.83,1212.8,2491628.89,967.0,966.0,967.99,966.0
2024-09-28,1245.0,1223.11,1221.75,1227.1,1215.15,1578675.39,,,,
2024-09-29,1245.0,1221.75,1224.99,1226.5,1219.72,1063585.97,,,,
2024-09-30,1245.0,1225.12,1227.66,1231.99,1217.05,2821425.83,966.0,968.5,969.99,966.0
2024-10-01,1235.0,1227.58,1235.15,1238.3,1220.9,3406743.03,968.5,969.5,970.0,968.5
2024-10-02,1220.0,1235.94,1230.0,1241.26,1226.35,3771236.25,969.5,970.0,970.74,969.5
2024-10-03,1215.0,1230.05,1221.24,1232.75,1215.12,2713989.7,970.0,971.5,971.74,970.0
2024-10-04,1205.0,1221.45,1209.6,1224.47,1204.16,3430471.68,971.5,971.0,971.74,971.0
2024-10-05,1195.0,1209.65,1214.75,1216.93,1207.05,1228267.43,,,,
2024-10-06,1195.0,1214.65,1216.12,1218.03,1210.01,1152129.83,,,,
2024-10-07,1195.0,1215.2,1203.51,1217.7,1201.2,2688118.03,971.0,974.5,974.74,971.0
2024-10-08,1185.0,1203.52,1199.94,1210.76,1195.24,2817076.3,974.5,974.0,975.24,974.0
2024-10-09,1175.0,1199.99,1185.9,1203.99,1178.25,2606699.1,974.0,974.5,975.24,974.0
2024-10-10,1175.0,1185.95,1181.72,1194.15,1175.16,3357857.31,974.5,974.5,975.5,974.5
2024-10-11,1180.0,1180.66,1190.58,1192.25,1178.25,1486516.84,974.5,974.74,974.74,974.5
2024-10-12,1180.0,1190.93,1188.39,1194.6,1185.5,1083090.85,,,,
2024-10-13,1180.0,1189.88,1186.76,1193.09,1185.25,870320.79,,,,
2024-10-14,1180.0,1186.76,1189.7,1191.94,1180.17,2942616.61,974.74,979.5,979.5,974.74
2024-10-15,1190.0,1189.34,1191.21,1194.5,1182.7,2846587.52,979.5,979.0,979.74,979.0
2024-10-16,1235.0,1193.68,1197.43,1200.55,1185.88,2212849.76,979.0,980.0,980.74,979.0
2024-10-17,1220.0,1198.82,1203.62,1206.5,1195.88,1517177.44,980.0,980.5,980.75,980.0
2024-10-18,1220.0,1203.33,1201.62,1207.39,1194.8,2329067.26,980.5,980.5,980.74,980.0
2024-10-19,1225.0,1204.43,1204.3,1205.49,1201.0,988488.67,,,,
2024-10-20,1225.0,1204.25,1203.51,1206.24,1201.75,751663.22,,,,
2024-10-21,1225.0,1204.35,1204.85,1212.62,1196.36,2880960.94,980.5,983.0,983.49,980.5
2024-10-22,1240.0,1204.8,1204.08,1208.84,1199.41,2945073.87,983.0,983.5,984.0,983.0
2024-10-23,1245.0,1204.03,1203.77,1208.99,1193.65,2240943.57,983.5,984.5,985.24,983.5
2024-10-24,1230.0,1203.87,1186.39,1204.24,1178.78,2610688.26,984.5,985.0,985.24,984.5
2024-10-25,1215.0,1186.39,1182.05,1189.95,1172.06,2536902.09,985.0,984.5,985.5,984.5
